"_class",_id,balconySize,city,link,location,price,priceRatio,roomNr,size,street
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674717e,0.0,VII. kerület,https://ingatlan.com/vii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+7+kerulet+nyar+utca+5/30749191,"Nyár utca 5, VII. kerület",335000.0,4652.777777777777,2 + 1 fél szoba,72.0,Nyár utca 5
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674717f,5.0,XI. kerület,https://ingatlan.com/xi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+ujhazy+utca/30744817,"Újházy utca, XI. kerület",225000.0,3237.410071942446,3 szoba,67.0,Újházy utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747180,0.0,II. kerület,https://ingatlan.com/ii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+feny+utca+2/30743935,"Fény utca 2., II. kerület",220000.0,4583.333333333333,1 + 1 fél szoba,48.0,Fény utca 2.
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747181,4.0,XI. kerület,https://ingatlan.com/xi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+biro+laszlo+jozsef+korut+1/30743656,"Bíró László József körút 1, XI. kerület",190000.0,4318.181818181818,2 szoba,42.0,Bíró László József körút 1
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747182,3.0,VIII. kerület,https://ingatlan.com/viii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+8+kerulet+aurora+utca/30740878,"Auróra utca, VIII. kerület",160000.0,3516.4835164835163,1 + 1 fél szoba,44.0,Auróra utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747183,0.0,VIII. kerület,https://ingatlan.com/viii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+8+kerulet+rakoczi+ut+71/30738793,"Rákóczi út 71, VIII. kerület",170000.0,2575.757575757576,2 szoba,66.0,Rákóczi út 71
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747184,0.0,XVI. kerület,https://ingatlan.com/xvi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+16+kerulet+zsemlekes+ut+25/30725707,"Zsemlékes út 25., XVI. kerület",130000.0,3939.3939393939395,1 + 1 fél szoba,33.0,Zsemlékes út 25.
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747185,0.0,XIII. kerület,https://ingatlan.com/xiii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+kresz+geza+utca/30719986,"Kresz Géza utca, XIII. kerület",210000.0,2957.7464788732395,3 szoba,71.0,Kresz Géza utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747186,4.0,XIV. kerület,https://ingatlan.com/xiv-ker/kiado+lakas/panel-lakas/budapest+14+kerulet+mogyorodi+ut/30716317,"Mogyoródi út, XIV. kerület",130000.0,2600.0,2 szoba,48.0,Mogyoródi út
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747187,0.0,VII. kerület,https://ingatlan.com/vii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+7+kerulet+nefelejcs+utca/30711460,"Nefelejcs utca, VII. kerület",220000.0,3384.6153846153848,2 + 1 fél szoba,65.0,Nefelejcs utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747188,8.0,XI. kerület,https://ingatlan.com/xi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+nevegy+utca+11/30695662,"Nevegy utca 11, XI. kerület",265000.0,3045.977011494253,3 szoba,83.0,Nevegy utca 11
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747189,0.0,XI. kerület,https://ingatlan.com/xi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+villanyi+ut+45/30683107,"Villányi út 45, XI. kerület",195000.0,3095.2380952380954,1 + 1 fél szoba,63.0,Villányi út 45
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674718a,10.0,IX. kerület,https://ingatlan.com/ix-ker/kiado+lakas/tegla-epitesu-lakas/budapest+9+kerulet+thaly+kalman+utca+41/30680758,"Thaly Kálmán utca 41, IX. kerület",330000.0,5076.923076923077,3 szoba,60.0,Thaly Kálmán utca 41
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674718b,0.0,XI. kerület,https://ingatlan.com/xi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bartok+bela+ut+92-94b/30676789,"Bartók Béla út 92-94/B, XI. kerület",230000.0,3108.108108108108,3 szoba,74.0,Bartók Béla út 92-94/B
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674718c,0.0,XI. kerület,https://ingatlan.com/xi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+szabolcska+mihaly+utca/30656128,"Szabolcska Mihály utca, XI. kerület",140000.0,4375.0,1 + 1 fél szoba,32.0,Szabolcska Mihály utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674718d,4.0,XIV. kerület,https://ingatlan.com/xiv-ker/kiado+lakas/tegla-epitesu-lakas/budapest+14+kerulet+felhold+utca/30654349,"Félhold utca, XIV. kerület",150000.0,2631.5789473684213,1 + 1 fél szoba,55.0,Félhold utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674718e,12.0,XI. kerület,https://ingatlan.com/xi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+aliz+utca/30640033,"Alíz utca, XI. kerület",190000.0,3725.4901960784314,1 + 1 fél szoba,45.0,Alíz utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674718f,0.0,II. kerület,https://ingatlan.com/ii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+varsanyi+iren+utca/30635287,"Varsányi Irén utca, II. kerület",130000.0,2549.0196078431372,2 szoba,51.0,Varsányi Irén utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747538,0.0,XIII. kerület,https://ingatlan.com/xiii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+vaci+ut/30963910,"Váci út, XIII. kerület",145000.0,3625.0,1 szoba,40.0,Váci út
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747539,0.0,XIII. kerület,https://ingatlan.com/xiii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+mohacs+utca/30551323,"Mohács utca, XIII. kerület",125000.0,4629.62962962963,1 szoba,27.0,Mohács utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674753a,0.0,VII. kerület,https://ingatlan.com/vii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+7+kerulet+dohany+utca/23331161,"Dohány utca, VII. kerület",215000.0,3257.5757575757575,2 szoba,66.0,Dohány utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674753b,4.0,I. kerület,https://ingatlan.com/i-ker/kiado+lakas/tegla-epitesu-lakas/budapest+1+kerulet+ponty+utca/30976126,"Ponty utca, I. kerület",190000.0,2317.0731707317073,2 szoba,80.0,Ponty utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674753c,12.0,XIII. kerület,https://ingatlan.com/xiii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+13+kerulet/27642748,"Újlipótváros – Rómaikert, XIII. kerület",270000.0,3552.6315789473683,3 szoba,70.0,Újlipótváros – Rómaikert
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674753d,4.0,I. kerület,https://ingatlan.com/i-ker/kiado+lakas/tegla-epitesu-lakas/budapest+1+kerulet+aladar+utca/30635647,"Aladár utca, I. kerület",200000.0,3225.8064516129034,2 szoba,60.0,Aladár utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674753e,0.0,V. kerület,https://ingatlan.com/v-ker/kiado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+bathory+utca/30052340,"Báthory utca, V. kerület",333830.0,4573.013698630137,2 szoba,73.0,Báthory utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674753f,0.0,II. kerület,https://ingatlan.com/ii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+budenz+ut/30772495,"Budenz út, II. kerület",380000.0,3689.3203883495144,3 szoba,103.0,Budenz út
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747540,0.0,XIII. kerület,https://ingatlan.com/xiii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+13+kerulet+fiastyuk+utca/30383659,"Fiastyúk utca, XIII. kerület",145000.0,3020.8333333333335,2 szoba,48.0,Fiastyúk utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747541,1.0,V. kerület,https://ingatlan.com/v-ker/kiado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+fejer+gyorgy+utca/30693556,"Fejér György utca, V. kerület",360000.0,3769.633507853403,3 szoba,95.0,Fejér György utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747542,0.0,II. kerület,https://ingatlan.com/ii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+kacsa+utca/30669385,"Kacsa utca, II. kerület",233681.0,4673.62,2 szoba,50.0,Kacsa utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747543,3.0,IX. kerület,https://ingatlan.com/ix-ker/kiado+lakas/tegla-epitesu-lakas/budapest+9+kerulet/30585766,"Belső-Ferencváros, IX. kerület",250000.0,3496.5034965034965,3 szoba,70.0,Belső-Ferencváros
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747544,0.0,XII. kerület,https://ingatlan.com/xii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+12+kerulet/24047498,"Kútvölgy, XII. kerület",484054.0,4209.165217391304,3 szoba,115.0,Kútvölgy
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747545,3.0,VI. kerület,https://ingatlan.com/vi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+6+kerulet/7156224,"Belső-Terézváros, VI. kerület",200298.0,3889.2815533980583,2 szoba,50.0,Belső-Terézváros
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747546,1.0,VIII. kerület,https://ingatlan.com/viii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+8+kerulet+vig+utca/30939373,"Víg utca, VIII. kerület",160000.0,3764.705882352941,2 szoba,42.0,Víg utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747547,0.0,IX. kerület,https://ingatlan.com/ix-ker/kiado+lakas/tegla-epitesu-lakas/budapest+9+kerulet+lonyay+utca/30805684,"Lónyay utca, IX. kerület",165000.0,2357.1428571428573,2 szoba,70.0,Lónyay utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747548,0.0,VI. kerület,https://ingatlan.com/vi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+6+kerulet+nagymezo+utca/30927073,"Nagymező utca, VI. kerület",135000.0,4821.428571428572,1 szoba,28.0,Nagymező utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747549,0.0,VII. kerület,https://ingatlan.com/vii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+7+kerulet+erzsebet+korut/30942196,"Erzsébet körút, VII. kerület",216990.0,3616.5,2 szoba,60.0,Erzsébet körút
